Valstybe,Adresas,Kaina,Miegamieji,Vonios kambariai,Patalpu dydis,Visos nuosavybes dydis
"Atlanta, Georgia","United States of America, Georgia, ATLANTA, Buckhead Village Lofts",2.500,1,2,106.84,105.22
"Atlanta, Georgia","United States of America, Georgia, ATLANTA, Buckhead Village Lofts",2.500,1,2,106.84,106.84
"Irvine, California","United States of America, California, Irvine, Other (OTHR)",5.250,4,3,185.81,278.83
"Atlanta, Georgia","United States of America, Georgia, ATLANTA, Heritage on Memorial",5.500,4,5,253.16,97.12
"Atlanta, Georgia","United States of America, Georgia, ATLANTA, Midtown",1.900,2,1,111.48,"1,084.56"
"Atlanta, Georgia","United States of America, Georgia, ATLANTA, Midtown",1.900,2,1,111.48,"1,084.56"
"Atlanta, Georgia","United States of America, Georgia, ATLANTA, Virginia Highland",1.800,1,1,78.97,926.73
"Atlanta, Georgia","United States of America, Georgia, ATLANTA, Brookwood Heights",4.000,3,4,192.31,84.98
"Santa Monica, California","United States of America, California, Santa Monica, Santa Monica",11.000,3,3,349.87,309.99
"Burbank, California","United States of America, California, Burbank, Burbank",4.287,2,2,113.25,"2,322.49"
"Santa Monica, California","United States of America, California, Santa Monica, Santa Monica",10.000,2,3,124.4,742.6
